k_bits,deadline_sec,accept_prob,timeout_prob
10,0.05,1.000000,0.000000
10,0.1,1.000000,0.000000
10,0.2,1.000000,0.000000
10,0.5,1.000000,0.000000
10,1.0,1.000000,0.000000
10,2.0,1.000000,0.000000
12,0.05,0.999995,0.000005
12,0.1,1.000000,0.000000
12,0.2,1.000000,0.000000
12,0.5,1.000000,0.000000
12,1.0,1.000000,0.000000
12,2.0,1.000000,0.000000
14,0.05,0.952827,0.047173
14,0.1,0.997775,0.002225
14,0.2,0.999995,0.000005
14,0.5,1.000000,0.000000
14,1.0,1.000000,0.000000
14,2.0,1.000000,0.000000
16,0.05,0.533961,0.466039
16,0.1,0.782807,0.217193
16,0.2,0.952827,0.047173
16,0.5,0.999517,0.000483
16,1.0,1.000000,0.000000
16,2.0,1.000000,0.000000
18,0.05,0.173761,0.826239
18,0.1,0.317329,0.682671
18,0.2,0.533961,0.466039
18,0.5,0.851729,0.148271
18,1.0,0.978016,0.021984
18,2.0,0.999517,0.000483
20,0.05,0.046597,0.953403
20,0.1,0.091023,0.908977
20,0.2,0.173761,0.826239
20,0.5,0.379468,0.620532
20,1.0,0.614940,0.385060
20,2.0,0.851729,0.148271
22,0.05,0.011859,0.988141
22,0.1,0.023577,0.976423
22,0.2,0.046597,0.953403
22,0.5,0.112454,0.887546
22,1.0,0.212262,0.787738
22,2.0,0.379468,0.620532
24,0.05,0.002978,0.997022
24,0.1,0.005947,0.994053
24,0.2,0.011859,0.988141
24,0.5,0.029383,0.970617
24,1.0,0.057903,0.942097
24,2.0,0.112454,0.887546
26,0.05,0.000745,0.999255
26,0.1,0.001490,0.998510
26,0.2,0.002978,0.997022
26,0.5,0.007428,0.992572
26,1.0,0.014801,0.985199
26,2.0,0.029383,0.970617
28,0.05,0.000186,0.999814
28,0.1,0.000373,0.999627
28,0.2,0.000745,0.999255
28,0.5,0.001862,0.998138
28,1.0,0.003721,0.996279
28,2.0,0.007428,0.992572
30,0.05,0.000047,0.999953
30,0.1,0.000093,0.999907
30,0.2,0.000186,0.999814
30,0.5,0.000466,0.999534
30,1.0,0.000932,0.999068
30,2.0,0.001862,0.998138
