k_bits,observed_trials,source,local_hash_rate_hps,nitro_effective_hash_rate_hps,expected_trials,mean_ms,median_ms,p95_ms,p99_ms,model_mean_ms,model_p95_ms,use
10,96,observed+nitro-calibrated,3519306.68,1000715.44,1024,0.3656,0.2502,1.0321,1.2537,1.0233,3.0654,low-latency honest baseline
12,64,observed+nitro-calibrated,3519306.68,1000715.44,4096,1.4793,0.9112,4.5891,6.4523,4.0931,12.2617,low-latency honest baseline
14,32,observed+nitro-calibrated,3519306.68,1000715.44,16384,4.3983,2.9371,13.6146,16.3056,16.3723,49.0470,low-latency honest baseline
16,16,observed+nitro-calibrated,3519306.68,1000715.44,65536,24.1923,17.2784,73.5935,76.4410,65.4891,196.1879,high-SLA honest or small gap
18,0,nitro-calibrated-model,3519306.68,1000715.44,262144,261.9566,181.5745,784.7518,1206.3547,261.9566,784.7518,small-to-medium premium
20,0,nitro-calibrated-model,3519306.68,1000715.44,1048576,1047.8263,726.2979,3139.0072,4825.4186,1047.8263,3139.0072,small-to-medium premium
22,0,nitro-calibrated-model,3519306.68,1000715.44,4194304,4191.3054,2905.1915,12556.0287,19301.6745,4191.3054,12556.0287,large premium with relaxed deadline
24,0,nitro-calibrated-model,3519306.68,1000715.44,16777216,16765.2214,11620.7660,50224.1149,77206.6978,16765.2214,50224.1149,large premium with relaxed deadline
26,0,nitro-calibrated-model,3519306.68,1000715.44,67108864,67060.8857,46483.0638,200896.4595,308826.7913,67060.8857,200896.4595,deposit or reject
28,0,nitro-calibrated-model,3519306.68,1000715.44,268435456,268243.5427,185932.2553,803585.8380,1235307.1653,268243.5427,803585.8380,deposit or reject
30,0,nitro-calibrated-model,3519306.68,1000715.44,1073741824,1072974.1707,743729.0212,3214343.3518,4941228.6612,1072974.1707,3214343.3518,deposit or reject
