mechanism,lambda,deposit_multiplier,ic_coverage,cells
NoVerify,0.25,0.0,0.093333,75
NoVerify,0.25,0.5,0.093333,75
NoVerify,0.25,1.0,0.093333,75
NoVerify,0.5,0.0,0.093333,75
NoVerify,0.5,0.5,0.093333,75
NoVerify,0.5,1.0,0.093333,75
NoVerify,1.0,0.0,0.093333,75
NoVerify,1.0,0.5,0.093333,75
NoVerify,1.0,1.0,0.093333,75
NoVerify,2.0,0.0,0.093333,75
NoVerify,2.0,0.5,0.093333,75
NoVerify,2.0,1.0,0.093333,75
DirectAttest,0.25,0.0,1.000000,75
DirectAttest,0.25,0.5,1.000000,75
DirectAttest,0.25,1.0,1.000000,75
DirectAttest,0.5,0.0,1.000000,75
DirectAttest,0.5,0.5,1.000000,75
DirectAttest,0.5,1.0,1.000000,75
DirectAttest,1.0,0.0,1.000000,75
DirectAttest,1.0,0.5,1.000000,75
DirectAttest,1.0,1.0,1.000000,75
DirectAttest,2.0,0.0,1.000000,75
DirectAttest,2.0,0.5,1.000000,75
DirectAttest,2.0,1.0,1.000000,75
RejectMismatch,0.25,0.0,1.000000,75
RejectMismatch,0.25,0.5,1.000000,75
RejectMismatch,0.25,1.0,1.000000,75
RejectMismatch,0.5,0.0,1.000000,75
RejectMismatch,0.5,0.5,1.000000,75
RejectMismatch,0.5,1.0,1.000000,75
RejectMismatch,1.0,0.0,1.000000,75
RejectMismatch,1.0,0.5,1.000000,75
RejectMismatch,1.0,1.0,1.000000,75
RejectMismatch,2.0,0.0,1.000000,75
RejectMismatch,2.0,0.5,1.000000,75
RejectMismatch,2.0,1.0,1.000000,75
TEEOnly,0.25,0.0,0.266667,75
TEEOnly,0.25,0.5,0.266667,75
TEEOnly,0.25,1.0,0.266667,75
TEEOnly,0.5,0.0,0.266667,75
TEEOnly,0.5,0.5,0.266667,75
TEEOnly,0.5,1.0,0.266667,75
TEEOnly,1.0,0.0,0.266667,75
TEEOnly,1.0,0.5,0.266667,75
TEEOnly,1.0,1.0,0.266667,75
TEEOnly,2.0,0.0,0.266667,75
TEEOnly,2.0,0.5,0.266667,75
TEEOnly,2.0,1.0,0.266667,75
AuditSlash,0.25,0.0,0.400000,75
AuditSlash,0.25,0.5,0.493333,75
AuditSlash,0.25,1.0,0.746667,75
AuditSlash,0.5,0.0,0.400000,75
AuditSlash,0.5,0.5,0.493333,75
AuditSlash,0.5,1.0,0.746667,75
AuditSlash,1.0,0.0,0.400000,75
AuditSlash,1.0,0.5,0.493333,75
AuditSlash,1.0,1.0,0.746667,75
AuditSlash,2.0,0.0,0.400000,75
AuditSlash,2.0,0.5,0.493333,75
AuditSlash,2.0,1.0,0.746667,75
StrongDeposit,0.25,0.0,1.000000,75
StrongDeposit,0.25,0.5,1.000000,75
StrongDeposit,0.25,1.0,1.000000,75
StrongDeposit,0.5,0.0,1.000000,75
StrongDeposit,0.5,0.5,1.000000,75
StrongDeposit,0.5,1.0,1.000000,75
StrongDeposit,1.0,0.0,1.000000,75
StrongDeposit,1.0,0.5,1.000000,75
StrongDeposit,1.0,1.0,1.000000,75
StrongDeposit,2.0,0.0,1.000000,75
StrongDeposit,2.0,0.5,1.000000,75
StrongDeposit,2.0,1.0,1.000000,75
ReputationOnly,0.25,0.0,0.680000,75
ReputationOnly,0.25,0.5,0.680000,75
ReputationOnly,0.25,1.0,0.680000,75
ReputationOnly,0.5,0.0,0.680000,75
ReputationOnly,0.5,0.5,0.680000,75
ReputationOnly,0.5,1.0,0.680000,75
ReputationOnly,1.0,0.0,0.680000,75
ReputationOnly,1.0,0.5,0.680000,75
ReputationOnly,1.0,1.0,0.680000,75
ReputationOnly,2.0,0.0,0.680000,75
ReputationOnly,2.0,0.5,0.680000,75
ReputationOnly,2.0,1.0,0.680000,75
TEE-PoW,0.25,0.0,0.653333,75
TEE-PoW,0.25,0.5,0.653333,75
TEE-PoW,0.25,1.0,0.653333,75
TEE-PoW,0.5,0.0,0.773333,75
TEE-PoW,0.5,0.5,0.773333,75
TEE-PoW,0.5,1.0,0.773333,75
TEE-PoW,1.0,0.0,0.880000,75
TEE-PoW,1.0,0.5,0.880000,75
TEE-PoW,1.0,1.0,0.880000,75
TEE-PoW,2.0,0.0,0.933333,75
TEE-PoW,2.0,0.5,0.933333,75
TEE-PoW,2.0,1.0,0.933333,75
Deposit+PoW,0.25,0.0,0.613333,75
Deposit+PoW,0.25,0.5,0.613333,75
Deposit+PoW,0.25,1.0,0.653333,75
Deposit+PoW,0.5,0.0,0.680000,75
Deposit+PoW,0.5,0.5,0.706667,75
Deposit+PoW,0.5,1.0,0.746667,75
Deposit+PoW,1.0,0.0,0.853333,75
Deposit+PoW,1.0,0.5,0.853333,75
Deposit+PoW,1.0,1.0,0.866667,75
Deposit+PoW,2.0,0.0,0.920000,75
Deposit+PoW,2.0,0.5,0.933333,75
Deposit+PoW,2.0,1.0,0.946667,75
