n,domain,protocol,epsilon_h,rmse,value
10000,2,brr,0.2,0.05031610,87.42097553
10000,2,brr,0.5,0.01995152,95.01211969
10000,2,brr,1.0,0.00967194,97.58201621
10000,2,brr,2.0,0.00428863,98.92784316
10000,2,brr,4.0,0.00138963,99.65259209
10000,2,brr,8.0,0.00018468,99.95382910
10000,32,oue,0.2,0.56029635,0.00000000
10000,32,oue,0.5,0.22217074,44.45731558
10000,32,oue,1.0,0.10770211,73.07447209
10000,32,oue,2.0,0.04775613,88.06096669
10000,32,oue,4.0,0.01547428,96.13142922
10000,32,oue,8.0,0.00205655,99.48586263
10000,32,olh,0.2,1.18856805,0.00000000
10000,32,olh,0.5,0.41066545,0.00000000
10000,32,olh,1.0,0.18654553,53.36361763
10000,32,olh,2.0,0.08271605,79.32098772
10000,32,olh,4.0,0.05819412,85.45146965
10000,32,olh,8.0,0.05615181,85.96204729
10000,1024,oue,0.2,3.21865750,0.00000000
10000,1024,oue,0.5,1.27627372,0.00000000
10000,1024,oue,1.0,0.61870153,0.00000000
10000,1024,oue,2.0,0.27433810,31.41547522
10000,1024,oue,4.0,0.08889299,77.77675281
10000,1024,oue,8.0,0.01181398,97.04650568
10000,1024,olh,0.2,36.48600638,0.00000000
10000,1024,olh,0.5,11.84140853,0.00000000
10000,1024,olh,1.0,4.98813118,0.00000000
10000,1024,olh,2.0,1.59965226,0.00000000
10000,1024,olh,4.0,0.38308060,4.22984877
10000,1024,olh,8.0,0.32258559,19.35360329
100000,2,brr,0.2,0.01591135,96.02216319
100000,2,brr,0.5,0.00630922,98.42269375
100000,2,brr,1.0,0.00305853,99.23536639
100000,2,brr,2.0,0.00135618,99.66095424
100000,2,brr,4.0,0.00043944,99.89013997
100000,2,brr,8.0,0.00005840,99.98539948
100000,32,oue,0.2,0.17718126,55.70468396
100000,32,oue,0.5,0.07025656,82.43586099
100000,32,oue,1.0,0.03405840,91.48540046
100000,32,oue,2.0,0.01510182,96.22454617
100000,32,oue,4.0,0.00489340,98.77665050
100000,32,oue,8.0,0.00065034,99.83741549
100000,32,olh,0.2,0.37585822,6.03544495
100000,32,olh,0.5,0.12986382,67.53404584
100000,32,olh,1.0,0.05899088,85.25228099
100000,32,olh,2.0,0.02615711,93.46072214
100000,32,olh,4.0,0.01840260,95.39935075
100000,32,olh,8.0,0.01775676,95.56080957
100000,1024,oue,0.2,1.01782887,0.00000000
100000,1024,oue,0.5,0.40359319,0.00000000
100000,1024,oue,1.0,0.19565060,51.08734952
100000,1024,oue,2.0,0.08675332,78.31166895
100000,1024,oue,4.0,0.02811043,92.97239219
100000,1024,oue,8.0,0.00373591,99.06602309
100000,1024,olh,0.2,11.53788829,0.00000000
100000,1024,olh,0.5,3.74458217,0.00000000
100000,1024,olh,1.0,1.57738558,0.00000000
100000,1024,olh,2.0,0.50585446,0.00000000
100000,1024,olh,4.0,0.12114072,69.71481903
100000,1024,olh,8.0,0.10201052,74.49737013
1000000,2,brr,0.2,0.00503161,98.74209755
1000000,2,brr,0.5,0.00199515,99.50121197
1000000,2,brr,1.0,0.00096719,99.75820162
1000000,2,brr,2.0,0.00042886,99.89278432
1000000,2,brr,4.0,0.00013896,99.96525921
1000000,2,brr,8.0,0.00001847,99.99538291
1000000,32,oue,0.2,0.05602964,85.99259116
1000000,32,oue,0.5,0.02221707,94.44573156
1000000,32,oue,1.0,0.01077021,97.30744721
1000000,32,oue,2.0,0.00477561,98.80609667
1000000,32,oue,4.0,0.00154743,99.61314292
1000000,32,oue,8.0,0.00020565,99.94858626
1000000,32,olh,0.2,0.11885681,70.28579867
1000000,32,olh,0.5,0.04106654,89.73336385
1000000,32,olh,1.0,0.01865455,95.33636176
1000000,32,olh,2.0,0.00827160,97.93209877
1000000,32,olh,4.0,0.00581941,98.54514696
1000000,32,olh,8.0,0.00561518,98.59620473
1000000,1024,oue,0.2,0.32186575,19.53356242
1000000,1024,oue,0.5,0.12762737,68.09315698
1000000,1024,oue,1.0,0.06187015,84.53246181
1000000,1024,oue,2.0,0.02743381,93.14154752
1000000,1024,oue,4.0,0.00888930,97.77767528
1000000,1024,oue,8.0,0.00118140,99.70465057
1000000,1024,olh,0.2,3.64860064,0.00000000
1000000,1024,olh,0.5,1.18414085,0.00000000
1000000,1024,olh,1.0,0.49881312,0.00000000
1000000,1024,olh,2.0,0.15996523,60.00869353
1000000,1024,olh,4.0,0.03830806,90.42298488
1000000,1024,olh,8.0,0.03225856,91.93536033
